WTI Crude,97.03,+1.00,['+1.04%(11 Minutes Delay)']
Brent Crude,101.43,+0.85,['+0.85%(11 Minutes Delay)']
Natural Gas,6.351,-0.008,['-0.13%(11 Minutes Delay)']
Heating Oil,3.299,+0.032,['+0.96%(11 Minutes Delay)']
Mars US,93.48,-0.20,['-0.21%(18\n\tHours Delay)']
Opec Basket,106.13,-1.92,['-1.78%(2\n\tdays Delay)']
Canadian Crude Index,82.22,+0.11,['+0.13%(1 day Delay)']
DME Oman,96.72,-0.30,['-0.31%(14\n\tHours Delay)']
Mexican Basket,94.97,-4.89,['-4.90%(2\n\tdays Delay)']
Indian Basket,103.94,+0.46,['+0.44%(2\n\tdays Delay)']
Western Canadian Select,81.93,-0.20,['-0.24%(10\n\tHours Delay)']
Dubai,98.81,-4.46,['-4.32%(2\n\tdays Delay)']
Brent Weighted Average,105.23,-2.59,['-2.40%(2\n\tdays Delay)']
Louisiana Light,97.89,-5.59,['-5.40%(2\n\tdays Delay)']
Coastal Grade A,85.50,-0.25,['-0.29%(1 day Delay)']
Domestic Swt. @ Cushing,92.50,-0.25,['-0.27%(1 day Delay)']
Giddings,86.25,-0.25,['-0.29%(1 day Delay)']
ANS West Coast,107.72,+4.04,['+3.90%(4\n\tdays Delay)']
Gulf Coast HSFO,88.61,-3.87,['-4.18%(2\n\tdays Delay)']
Gasoline,3.084,+0.044,['+1.44%(11 Minutes Delay)']
Ethanol,2.160,+0.000,['+0.00%(18\n\tHours Delay)']
Alberta Natural Gas,6.120,+0.170,['+2.86%(2\n\tdays Delay)']
Dutch TTF Natural Gas,34.23,-0.63,['-1.81%(2\n\tdays Delay)']
LNG Japan/Korea Marker,33.44,-0.02,['-0.04%(2\n\tdays Delay)']
Murban,99.06,-6.33,['-6.01%(1 day Delay)']
Iran Heavy,96.95,-5.58,['-5.44%(1 day Delay)']
Saharan Blend,100.74,-5.93,['-5.56%(1 day Delay)']
Bonny Light,100.00,-4.79,['-4.57%(1 day Delay)']
Girassol,99.87,-5.22,['-4.97%(1 day Delay)']
Arab Light,105.58,-1.27,['-1.19%(11\n\tHours Delay)']
Kuwait Export Blend,108.53,-1.54,['-1.40%(2\n\tdays Delay)']
